2023-08-23 00:03:55,014 Finished calculating data for N=50, tau=0.045204, noise=5.0
2023-08-23 00:03:55,062 Finished calculating data for N=50, tau=0.045204, noise=10.0
2023-08-23 00:03:55,111 Finished calculating data for N=50, tau=0.056234, noise=0.0
2023-08-23 00:03:55,157 Finished calculating data for N=50, tau=0.056234, noise=0.001
2023-08-23 00:03:55,204 Finished calculating data for N=50, tau=0.056234, noise=0.01
2023-08-23 00:03:55,251 Finished calculating data for N=50, tau=0.056234, noise=0.05
2023-08-23 00:03:55,301 Finished calculating data for N=50, tau=0.056234, noise=0.1
2023-08-23 00:03:55,348 Finished calculating data for N=50, tau=0.056234, noise=0.2
2023-08-23 00:03:55,396 Finished calculating data for N=50, tau=0.056234, noise=0.5
2023-08-23 00:03:55,446 Finished calculating data for N=50, tau=0.056234, noise=1.0
2023-08-23 00:03:55,494 Finished calculating data for N=50, tau=0.056234, noise=5.0
2023-08-23 00:03:55,540 Finished calculating data for N=50, tau=0.056234, noise=10.0
2023-08-23 00:03:55,590 Finished calculating data for N=50, tau=0.07279, noise=0.0
2023-08-23 00:03:55,636 Finished calculating data for N=50, tau=0.07279, noise=0.001
2023-08-23 00:03:55,685 Finished calculating data for N=50, tau=0.07279, noise=0.01
2023-08-23 00:03:55,735 Finished calculating data for N=50, tau=0.07279, noise=0.05
2023-08-23 00:03:55,782 Finished calculating data for N=50, tau=0.07279, noise=0.1
2023-08-23 00:03:55,830 Finished calculating data for N=50, tau=0.07279, noise=0.2
2023-08-23 00:03:55,879 Finished calculating data for N=50, tau=0.07279, noise=0.5
2023-08-23 00:03:55,925 Finished calculating data for N=50, tau=0.07279, noise=1.0
2023-08-23 00:03:55,973 Finished calculating data for N=50, tau=0.07279, noise=5.0
2023-08-23 00:03:56,020 Finished calculating data for N=50, tau=0.07279, noise=10.0
2023-08-23 00:03:56,068 Finished calculating data for N=50, tau=0.090852, noise=0.0
